City,Name,Address
Manhattan,Sweet & Vicious,5 Spring St
Manhattan,Beatstro,135 Alexander Ave
Manhattan,Broadway Dive Bar,2662 Broadway
Manhattan,Irene's Capri Lounge,156 Calyer St
Manhattan,Hudson Mercantile,500 W 36th St
Manhattan,Platinum Lounge,41-16 Fuller Pl
Manhattan,Ventanas Restaurant and Lounge,200 Park Ave
Manhattan,NOMO SOHO,9 Crosby St
Manhattan,Bonnie Vee,17 Stanton St
Manhattan,Maracuja Bar & Grill,279 Grand St
Manhattan,Rumpus Room,249 Eldridge St
Manhattan,Jasmin Lounge,2550 Steinway St
Manhattan,Son Cubano Restaurant On The Hudson,40-4 Riverwalk Pl
Manhattan,Kingston,218 W 116th St
Manhattan,Duff's Brooklyn,168 Marcy Ave
Manhattan,A+ Roof Bar,The Parc Hotel
Manhattan,Black Flamingo,168 Borinquen Pl
Manhattan,Sama Street,988 Manhattan Ave
Manhattan,Stingray Lounge,1210 Washington St
Manhattan,Lucky,168 Ave B
Manhattan,Ryan's Daughter,350 E 85th St
Manhattan,Kingston Hall,149 2nd Ave
Manhattan,Cellar 335,335 Newark Ave
Manhattan,The Liberty,29 W 35th St
Manhattan,Pretty Ricky’s,101 Rivington St
Manhattan,The Gutter,10-22 46th Ave
